stock_number,make,model,sale_date,delivery_date,year,new,image,price,car_and_driver_hyperlink,dealership_number
90,Honda,Prelude,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,0,,76045.54,,56
91,Infiniti,I,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,37698.42,,49
92,Acura,SLX,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,5547.91,,81
93,Austin,Mini Cooper S,0000-00-00 00:00:00,0000-00-00 00:00:00,1963,0,,67355.86,,62
94,Mazda,B-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,18700.86,,47
95,Mitsubishi,Diamante,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,21470.01,,94
96,Mitsubishi,Outlander,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,10200.95,,59
97,Cadillac,DeVille,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,68367.59,,68
98,GMC,Savana,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,88688.91,,63
99,Scion,xB,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,36926.98,,27
100,Isuzu,Hombre,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,73753.46,,53
101,Lotus,Esprit Turbo,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,0,,37140.49,,32
102,Corbin,Sparrow,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,39791.99,,78
103,MINI,Cooper,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,31114.44,,63
104,Suzuki,SX4,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,56889.18,,50
105,GMC,Vandura 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,88016.77,,86
106,Ford,F-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,72914.79,,71
107,Toyota,Camry,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,46455.81,,87
108,MINI,Countryman,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,86684.31,,49
109,Honda,Civic Si,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,25346.83,,91
110,Chevrolet,Suburban 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,0,,76418.45,,46
111,Dodge,Neon,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,99090.0,,68
112,Mercedes-Benz,SL-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,86423.73,,25
113,Mazda,B-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,3602.42,,61
114,Ford,Explorer,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,55946.55,,44
115,Audi,Coupe Quattro,0000-00-00 00:00:00,0000-00-00 00:00:00,1990,1,,19932.59,,99
116,Honda,Odyssey,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,82193.76,,37
117,Mitsubishi,Montero,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,44339.1,,47
118,Subaru,Outback,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,23340.18,,61
119,Ford,Ranger,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,1,,13315.09,,25
120,Lotus,Esprit,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,64771.8,,91
121,Mitsubishi,Diamante,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,97275.45,,59
122,Acura,TSX,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,90949.82,,72
123,Volvo,240,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,96655.42,,88
124,Cadillac,STS,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,17196.59,,19
125,Volkswagen,Routan,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,46578.3,,31
126,Honda,Odyssey,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,62159.44,,89
127,Chevrolet,Astro,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,1,,89533.98,,72
128,Toyota,Echo,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,9001.13,,71
129,Kia,Optima,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,57426.98,,98
130,Mitsubishi,Galant,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,1447.07,,24
131,Chevrolet,Suburban 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,74041.65,,66
132,GMC,3500,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,1,,72219.29,,56
133,Infiniti,M,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,47041.77,,43
134,Audi,S4,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,81225.01,,73
135,Dodge,Stratus,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,0,,66272.21,,1
136,Ford,Thunderbird,0000-00-00 00:00:00,0000-00-00 00:00:00,1983,0,,55754.94,,59
137,Honda,Prelude,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,1,,16527.79,,62
138,Isuzu,Trooper,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,57578.07,,7
139,Mercedes-Benz,E-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,1,,66195.64,,99
140,Panoz,Esperante,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,61159.63,,90
141,Toyota,RAV4,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,84753.8,,15
142,GMC,3500 Club Coupe,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,8824.11,,84
143,Pontiac,Firebird,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,0,,77492.84,,76
144,Buick,Century,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,71216.35,,46
145,Pontiac,Firefly,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,1,,5850.26,,57
146,Chevrolet,Express 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,67671.77,,22
147,Volvo,XC90,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,29781.41,,66
148,Mercury,Sable,0000-00-00 00:00:00,0000-00-00 00:00:00,1987,1,,32203.23,,84
149,Kia,Spectra,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,1,,72624.47,,8
150,Dodge,Nitro,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,24071.58,,85
151,BMW,6 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1989,1,,9316.15,,93
152,Dodge,Ram Van 1500,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,89665.07,,55
153,Hyundai,Azera,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,85093.62,,100
154,Nissan,Titan,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,72472.18,,16
155,Infiniti,QX,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,85098.32,,3
156,Jaguar,XK Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,78338.25,,5
157,Mitsubishi,Cordia,0000-00-00 00:00:00,0000-00-00 00:00:00,1988,0,,71405.35,,3
158,Hyundai,Veracruz,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,68017.41,,49
159,Lexus,ES,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,1,,99434.88,,6
160,Infiniti,FX,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,11918.06,,31
161,Toyota,Highlander Hybrid,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,53915.97,,51
162,Ford,Mustang,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,1,,72391.75,,92
163,Ford,Escort,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,64548.52,,51
164,Mazda,626,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,10891.59,,6
165,Lotus,Exige,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,6322.9,,24
166,Chrysler,New Yorker,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,5928.96,,86
167,Acura,MDX,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,1,,20748.87,,25
168,Mercedes-Benz,E-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,69285.34,,96
169,Lexus,LX,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,3123.82,,7
170,GMC,Jimmy,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,28949.61,,87
171,Mitsubishi,Pajero,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,1,,96105.17,,85
172,Lamborghini,Gallardo,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,76797.21,,93
173,Toyota,MR2,0000-00-00 00:00:00,0000-00-00 00:00:00,1985,0,,22326.92,,8
174,Chevrolet,Silverado 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,47631.25,,57
175,Mercedes-Benz,W123,0000-00-00 00:00:00,0000-00-00 00:00:00,1977,0,,20361.05,,97
176,Chevrolet,Express 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,12301.47,,35
177,Lexus,GS,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,0,,56107.59,,69
178,Dodge,Challenger,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,93686.91,,26
179,Nissan,240SX,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,1,,80928.06,,60
180,Lexus,LX,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,69568.62,,55
181,Jaguar,X-Type,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,81341.76,,44
182,Pontiac,Grand Am,0000-00-00 00:00:00,0000-00-00 00:00:00,1988,0,,93999.96,,72
183,Dodge,Ram 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,62452.44,,92
184,MINI,Clubman,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,80712.12,,89
185,Ford,Tempo,0000-00-00 00:00:00,0000-00-00 00:00:00,1988,1,,59313.97,,53
186,Chevrolet,Avalanche,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,24080.52,,14
187,Kia,Sorento,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,30641.31,,65
188,Mazda,Navajo,0000-00-00 00:00:00,0000-00-00 00:00:00,1994,1,,96716.32,,52
189,GMC,Savana 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,0,,99948.02,,87
190,Isuzu,Axiom,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,22995.87,,51
191,Chevrolet,Monte Carlo,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,50027.11,,28
192,Chrysler,PT Cruiser,0000-00-00 00:00:00,0000-00-00 00:00:00,2004,0,,9121.84,,40
193,Mitsubishi,Galant,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,70506.92,,4
194,Toyota,Solara,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,84532.18,,59
195,Toyota,Paseo,0000-00-00 00:00:00,0000-00-00 00:00:00,1993,0,,83757.98,,36
196,Corbin,Sparrow,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,45186.01,,47
197,Audi,A6,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,60806.13,,37
198,Mercedes-Benz,SL-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,1989,1,,81050.31,,56
199,Toyota,Xtra,0000-00-00 00:00:00,0000-00-00 00:00:00,1992,0,,64293.7,,100
200,Plymouth,Voyager,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,91228.64,,54
201,Lexus,LX,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,94185.37,,21
202,Ford,Fusion,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,11166.93,,77
203,Maserati,GranTurismo,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,8363.36,,85
204,Kia,Spectra,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,36407.13,,20
205,Chevrolet,Camaro,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,63006.4,,11
206,Toyota,4Runner,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,0,,10851.16,,36
207,Cadillac,STS,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,60557.84,,38
208,Chevrolet,G-Series 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,9098.34,,68
209,Hummer,H1,0000-00-00 00:00:00,0000-00-00 00:00:00,1997,1,,60666.11,,55
210,Chevrolet,Astro,0000-00-00 00:00:00,0000-00-00 00:00:00,1999,0,,80731.34,,5
211,Audi,80/90,0000-00-00 00:00:00,0000-00-00 00:00:00,1988,1,,69429.13,,72
212,Bentley,Continental GTC,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,1,,85150.12,,38
213,Dodge,Neon,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,57057.44,,50
214,Dodge,Ram 2500,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,46335.85,,48
215,Ford,Ranger,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,44284.62,,63
216,Volvo,C70,0000-00-00 00:00:00,0000-00-00 00:00:00,2002,1,,51094.3,,66
217,Mercedes-Benz,SLR McLaren,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,50659.04,,30
218,Nissan,Pathfinder,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,14034.58,,29
219,Audi,TT,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,47194.79,,32
220,Lincoln,Continental,0000-00-00 00:00:00,0000-00-00 00:00:00,1995,0,,7823.05,,13
221,Dodge,Ram Van 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,2818.48,,70
222,Chevrolet,Corvette,0000-00-00 00:00:00,0000-00-00 00:00:00,1973,1,,6285.44,,9
223,Chrysler,Sebring,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,10400.89,,30
224,Bentley,Azure,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,54322.23,,38
225,GMC,Sierra 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,20045.53,,19
226,Dodge,Durango,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,38125.51,,69
227,Porsche,Boxster,0000-00-00 00:00:00,0000-00-00 00:00:00,2000,1,,66821.87,,67
228,Suzuki,SX4,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,7647.12,,55
229,Chevrolet,Colorado,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,75071.43,,55
230,Oldsmobile,LSS,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,1,,53260.9,,4
231,Pontiac,G6,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,0,,22289.62,,18
232,Ford,Taurus,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,0,,73401.67,,54
233,Toyota,Land Cruiser,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,11915.41,,74
234,Dodge,Ram 3500,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,0,,51278.79,,63
235,Subaru,Impreza WRX,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,98968.33,,95
236,Kia,Spectra,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,95643.31,,37
237,Nissan,Quest,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,0,,98717.04,,31
238,Toyota,Previa,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,0,,71168.07,,75
239,Mazda,Mazda6,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,1,,51378.6,,4
240,BMW,7 Series,0000-00-00 00:00:00,0000-00-00 00:00:00,2011,0,,47866.5,,6
241,Toyota,T100 Xtra,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,49142.61,,69
242,Ford,Thunderbird,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,35608.65,,63
243,Ford,Excursion,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,0,,80907.0,,17
244,Aston Martin,DBS,0000-00-00 00:00:00,0000-00-00 00:00:00,2010,1,,91587.63,,55
245,Volkswagen,Scirocco,0000-00-00 00:00:00,0000-00-00 00:00:00,1988,0,,94724.89,,66
246,Mercury,Marauder,0000-00-00 00:00:00,0000-00-00 00:00:00,2003,1,,43445.24,,14
247,Infiniti,J,0000-00-00 00:00:00,0000-00-00 00:00:00,1996,1,,43947.86,,61
248,Volvo,C30,0000-00-00 00:00:00,0000-00-00 00:00:00,2013,0,,99054.44,,11
249,Kia,Sportage,0000-00-00 00:00:00,0000-00-00 00:00:00,2005,1,,98084.4,,44
250,Mercedes-Benz,M-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,72316.57,,85
251,Chevrolet,Express,0000-00-00 00:00:00,0000-00-00 00:00:00,2008,0,,61886.66,,58
252,Ford,Mustang,0000-00-00 00:00:00,0000-00-00 00:00:00,1984,0,,37592.88,,6
253,Land Rover,Range Rover Evoque,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,81674.52,,26
254,Ford,Tempo,0000-00-00 00:00:00,0000-00-00 00:00:00,1990,0,,50075.22,,5
255,Toyota,Yaris,0000-00-00 00:00:00,0000-00-00 00:00:00,2006,0,,23259.51,,54
256,Lexus,HS,0000-00-00 00:00:00,0000-00-00 00:00:00,2012,1,,33387.24,,81
257,Lexus,RX,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,26266.35,,77
258,Ford,E-Series,0000-00-00 00:00:00,0000-00-00 00:00:00,1991,0,,38027.09,,28
259,Chevrolet,Blazer,0000-00-00 00:00:00,0000-00-00 00:00:00,2001,0,,35648.34,,10
260,Ford,Bronco II,0000-00-00 00:00:00,0000-00-00 00:00:00,1985,0,,27184.42,,67
261,Mercedes-Benz,E-Class,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,0,,84386.53,,19
262,Buick,LeSabre,0000-00-00 00:00:00,0000-00-00 00:00:00,1998,0,,18961.56,,79
263,Ford,Edge,0000-00-00 00:00:00,0000-00-00 00:00:00,2007,1,,15559.88,,62
264,Honda,Pilot,0000-00-00 00:00:00,0000-00-00 00:00:00,2009,1,,25629.28,,71
